EVENT_NAME,PATHOGEN,REFERENCE,DATE_LOW,DATE_HIGH,DATE_REPORT,DATE_TYPE,SPATIAL_RESOLUTION,AL0_CODE,AL0_NAME,AL1_CODE,AL1_NAME,AL2_NAME,AL3_NAME,LOCALITY_NAME,LOCATION_TYPE,CONFIRM_STATUS,OUTCOME,CUMULATIVE_FLAG,VALUE
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL0,CN,China,,,,,,Clinical care sought,CONFIRMED,CASE,FALSE,278
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL0,CN,China,,,,,,Clinical care sought,CONFIRMED,CASE,TRUE,290
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL0,CN,China,,,,,,Clinical care sought,CONFIRMED,DEATH,FALSE,6
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL0,CN,China,,,,,,Clinical care sought,CONFIRMED,DEATH,TRUE,6
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL0,CN,China,,,,,,Clinical care sought,TOTAL,CASE,FALSE,278
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL0,CN,China,,,,,,Clinical care sought,TOTAL,CASE,TRUE,290
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL0,CN,China,,,,,,Clinical care sought,TOTAL,DEATH,FALSE,6
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL0,CN,China,,,,,,Clinical care sought,TOTAL,DEATH,TRUE,6
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL1,CN,China,CN-BJ,Beijing,,,,Clinical care sought,CONFIRMED,CASE,FALSE,5
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL1,CN,China,CN-BJ,Beijing,,,,Clinical care sought,CONFIRMED,CASE,TRUE,5
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL1,CN,China,CN-BJ,Beijing,,,,Clinical care sought,TOTAL,CASE,FALSE,5
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL1,CN,China,CN-BJ,Beijing,,,,Clinical care sought,TOTAL,CASE,TRUE,5
nCoV_2019,2019 Novel Coronavirus (2019-nCoV),HK CHP Severe Respiratory Disease associated with a Novel Infectious Agent,2019-12-01,2020-01-20,2020-01-21,Authority notification,AL1,CN,China,CN-GD,Guangdong,,,,Clinical care sought,CONFIRMED,CASE,FALSE,14
